Student,LPIPS,SSIM
113590043.png,0.07309426367282867,0.9100224530021452
111590042.png,0.1249806359410286,0.9297791856537362
113590004.png,0.13137288391590118,0.8828254981691945
113590047.png,0.1654849648475647,0.8637063187033662
113590005.png,0.19833901524543762,0.8604423995812234
113590032.png,0.26233652234077454,0.7873828322242871
111590047.png,0.3275777995586395,0.7741855987054989
113590031.png,0.34683334827423096,0.724105756286352
113590039.png,0.3490147888660431,0.7547918658914556
113590060.png,0.3516187369823456,0.7789950423034075
111590062.png,0.3562801778316498,0.7443916322293928
113590026.png,0.3588545024394989,0.7536185432315964
113370239.png,0.3620712459087372,0.751015096658324
113590450.png,0.36485451459884644,0.773042904313483
113590010.png,0.3711772561073303,0.6865070080431513
113590051.png,0.3741065561771393,0.7532627993087236
113590033.png,0.3816719353199005,0.7575121614501983
113590001.png,0.38885295391082764,0.7059797552069529
111590028.png,0.39003700017929077,0.7792201330946276
113590003.png,0.39176926016807556,0.7375170634641555
113590040.png,0.3961640000343323,0.7456111754032518
112590455.png,0.3974939286708832,0.7227267615609081
113590061.png,0.4121157228946686,0.7457415017360425
110590455.png,0.41380468010902405,0.7467083725912069
113590055.png,0.4149830937385559,0.7493883770446814
113590451.png,0.4165613651275635,0.7303954454493913
113590015.png,0.4169965386390686,0.7089367679999967
113590056.png,0.4228176474571228,0.7287375226643729
112590454.png,0.42316827178001404,0.711426415604055
113590052.png,0.4279976785182953,0.7028011003064807
113590044.png,0.4308844208717346,0.688913790270596
114054809.png,0.43742936849594116,0.7403553087108063
113590021.png,0.4375910758972168,0.6816088757227412
113590022.png,0.4515332281589508,0.693151868265583
113AC1012.png,0.4555342495441437,0.7175388397503006
113590042.png,0.45959174633026123,0.6631389030909568
112590452.png,0.46610960364341736,0.6961808099090299
113590045.png,0.4663281738758087,0.6615953274472306
113590057.png,0.4707220196723938,0.6882781291797395
113590036.png,0.4726773500442505,0.6572912772211
112590040.png,0.4770881235599518,0.6714018514719462
113AB0018.png,0.4773528277873993,0.673899061843693
113590062.png,0.47738808393478394,0.650168727730099
113590028.png,0.47868117690086365,0.6508926379186502
113590006.png,0.4899909198284149,0.6088259506076757
113590002.png,0.4974386692047119,0.6613438618438501
113590011.png,0.5046594142913818,0.6561082198123469
113590018.png,0.5047637224197388,0.6601745544896561
113590059.png,0.50630122423172,0.6113472616041001
113590050.png,0.5089279413223267,0.6158511967172844
113590023.png,0.5216121077537537,0.5870104102064823
111590455.png,0.5380910634994507,0.6174759174576883
113590049.png,0.5745898485183716,0.5337088094671453
113590013.png,0.6113295555114746,0.4279197307374919
113590008.png,0.6238049268722534,0.4904664145254475
112590058.jpg,0.6238602995872498,0.4627528642190195
